runid                 	all	mh-contextualized-complete	mh-contextualized-no	mh-contextualized-partial	mh-simple-complete	mh-simple-no	mh-simple-partial	mhw-contextualized-complete	mhw-contextualized-no	mhw-contextualized-partial	mhwcv-contextualized-complete	mhwcv-contextualized-no	mhwcv-contextualized-partial	mhwcv-simple-complete	mhwcv-simple-no	mhwcv-simple-partial	mhw-simple-complete	mhw-simple-no	mhw-simple-partial	mhwv-contextualized-complete	mhwv-contextualized-no	mhwv-contextualized-partial	mhwv-simple-complete	mhwv-simple-no	mhwv-simple-partial	ml-contextualized-complete	ml-contextualized-no	ml-contextualized-partial	ml-simple-complete	ml-simple-no	ml-simple-partial
num_ret               	527735713	13	20	13	13	20	13	13	20	13	13	20	13	13	20	13	13	20	13	13	20	13	13	20	13	13	20	13	13	20	13
num_rel               	527735713	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	527735713	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	527735713	1.0000	1.0000	1.0000	1.0000	0.0667	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.1000	1.0000	1.0000	0.2000	1.0000	0.3333	0.3333	0.3333	0.3333	0.0667	0.3333	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
num_ret               	527735771	11	20	11	11	20	11	11	20	11	11	20	11	11	20	11	11	20	11	11	20	11	11	20	11	11	20	11	11	20	11
num_rel               	527735771	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	527735771	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	527735771	1.0000	1.0000	1.0000	1.0000	0.0667	1.0000	1.0000	1.0000	1.0000	0.5000	0.5000	0.5000	0.5000	0.2000	0.5000	1.0000	0.2500	1.0000	0.5000	0.5000	0.5000	0.5000	0.0833	0.5000	1.0000	1.0000	1.0000	1.0000	0.3333	1.0000
num_ret               	527735807	2	14	2	2	14	2	2	14	2	2	14	2	2	14	2	2	14	2	2	14	2	2	14	2	2	14	2	2	14	2
num_rel               	527735807	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	527735807	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	527735807	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
num_ret               	647729513	18	20	18	18	20	18	18	20	18	18	20	18	18	20	18	18	20	18	18	20	18	18	20	18	18	20	18	18	20	18
num_rel               	647729513	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	647729513	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	647729513	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
num_ret               	647729517	17	20	17	17	20	17	17	20	17	17	20	17	17	20	17	17	20	17	17	20	17	17	20	17	17	20	17	17	20	17
num_rel               	647729517	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	647729517	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	647729517	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
num_ret               	762661606	11	20	11	11	20	11	11	20	11	11	20	11	11	20	11	11	20	11	11	20	11	11	20	11	11	20	11	11	20	11
num_rel               	762661606	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	762661606	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	762661606	1.0000	1.0000	1.0000	1.0000	0.3333	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	0.1429	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
num_ret               	762661608	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12
num_rel               	762661608	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	762661608	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	762661608	1.0000	1.0000	1.0000	1.0000	0.2000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
num_ret               	762661634	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12
num_rel               	762661634	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	762661634	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	762661634	1.0000	1.0000	1.0000	1.0000	0.1000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	1.0000	1.0000	1.0000	0.1667	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
num_ret               	762661635	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9
num_rel               	762661635	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	762661635	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	762661635	0.3333	0.3333	0.3333	0.5000	0.0833	0.5000	0.5000	0.5000	0.5000	0.3333	0.3333	0.3333	0.3333	0.1000	0.3333	0.5000	0.1667	0.5000	0.2000	0.2000	0.2000	0.2500	0.0833	0.2500	0.5000	0.5000	0.5000	0.5000	0.0909	0.5000
num_ret               	821737647	11	20	11	11	20	11	11	20	11	11	20	11	11	20	11	11	20	11	11	20	11	11	20	11	11	20	11	11	20	11
num_rel               	821737647	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	821737647	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	821737647	1.0000	1.0000	1.0000	1.0000	0.0909	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000	1.0000	0.3333	1.0000	1.0000	1.0000	1.0000	1.0000	0.3333	1.0000	1.0000	1.0000	1.0000	1.0000	0.2500	1.0000
num_ret               	821737806	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12
num_rel               	821737806	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	821737806	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	821737806	0.3333	0.3333	0.3333	0.5000	0.0714	0.5000	0.5000	0.5000	0.5000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000	1.0000	0.2000	1.0000	1.0000	1.0000	1.0000	1.0000	0.2500	1.0000	0.5000	0.5000	0.5000	1.0000	0.1250	1.0000
num_ret               	845485410	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9	9	20	9
num_rel               	845485410	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	845485410	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	845485410	1.0000	1.0000	1.0000	1.0000	0.3333	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	0.1429	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
num_ret               	845485412	4	9	4	4	9	4	4	9	4	4	9	4	4	9	4	4	9	4	4	9	4	4	9	4	4	9	4	4	9	4
num_rel               	845485412	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	845485412	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	845485412	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
num_ret               	845485414	5	16	5	5	16	5	5	16	5	5	16	5	5	16	5	5	16	5	5	16	5	5	16	5	5	16	5	5	16	5
num_rel               	845485414	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	845485414	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	845485414	1.0000	1.0000	1.0000	1.0000	0.1667	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	0.2000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
num_ret               	845485416	14	20	14	14	20	14	14	20	14	14	20	14	14	20	14	14	20	14	14	20	14	14	20	14	14	20	14	14	20	14
num_rel               	845485416	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	845485416	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	845485416	1.0000	1.0000	1.0000	1.0000	0.1667	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
num_ret               	845485418	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12	12	20	12
num_rel               	845485418	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
num_rel_ret           	845485418	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
recip_rank            	845485418	1.0000	1.0000	1.0000	1.0000	0.2000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
