runid                 	all	cml-with-partial-context	majority0.1	majority0.1	majority-with-partial-context0.1	majority-hit-jaccard	majority-hit-jaccard	majority-hit-jaccard-with-partial-context	majority-hit	majority-hit	majority-hit-with-partial-context	ml-frequency	ml-frequency	ml-frequency-with-partial-context	ml-jaccard	ml-jaccard	ml-jaccard-with-partial-context	ml-ngram	ml-ngram
iprec_at_recall_0.50  	1973672910	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
iprec_at_recall_0.60  	1973672910	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
iprec_at_recall_0.70  	1973672910	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
iprec_at_recall_0.80  	1973672910	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
iprec_at_recall_0.90  	1973672910	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
iprec_at_recall_1.00  	1973672910	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ndcg_cut_01            	1973672910	0.0000	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000	0.5000	0.0000
ndcg_cut_02            	1973672910	0.0000	0.6934	0.5000	0.6934	0.3066	0.3066	0.3066	0.5000	0.3066	0.5000	0.3066	0.3066	0.3066	0.3066	0.3066	0.3066	0.3066	0.1934
ndcg_cut_03            	1973672910	0.0000	0.6013	0.4335	0.6013	0.3987	0.3987	0.3987	0.4335	0.2658	0.4335	0.5317	0.2658	0.5317	0.5317	0.5317	0.5317	0.5317	0.1677
ndcg_cut_04            	1973672910	0.0000	0.5395	0.3890	0.5395	0.5632	0.5632	0.5632	0.4917	0.2385	0.4917	0.4770	0.2385	0.4770	0.4770	0.4770	0.4770	0.4770	0.1505
ndcg_cut_05            	1973672910	0.0000	0.5784	0.4406	0.5784	0.6001	0.6001	0.6001	0.4502	0.2184	0.4502	0.4367	0.2184	0.4367	0.4367	0.4367	0.4367	0.4367	0.1378
ndcg_cut_06            	1973672910	0.0000	0.5367	0.4810	0.5367	0.5568	0.5568	0.5568	0.4177	0.2026	0.4177	0.4774	0.2748	0.4774	0.4052	0.4052	0.5496	0.4774	0.1278
ndcg_cut_07            	1973672910	0.0000	0.5660	0.4506	0.5660	0.5216	0.5216	0.5849	0.4545	0.1898	0.4545	0.4472	0.2574	0.4472	0.4428	0.4428	0.5148	0.4472	0.1197
ndcg_cut_08            	1973672910	0.0000	0.6470	0.4816	0.6470	0.4921	0.4921	0.5518	0.5418	0.1791	0.5418	0.4219	0.2993	0.4219	0.5308	0.5308	0.5422	0.4219	0.1130
ndcg_cut_09            	1973672910	0.0000	0.6139	0.4570	0.6139	0.5181	0.5181	0.6259	0.5653	0.1699	0.5653	0.4003	0.3352	0.4003	0.5037	0.5037	0.5145	0.4003	0.1072
ndcg_cut_10           	1973672910	0.0000	0.5851	0.4356	0.5851	0.4938	0.4938	0.5966	0.5388	0.1620	0.5388	0.3816	0.3195	0.3816	0.4801	0.4801	0.5372	0.3816	0.1490
ndcg_cut_11           	1973672910	0.0000	0.5599	0.4167	0.5599	0.5589	0.5589	0.5708	0.5155	0.1550	0.5155	0.3651	0.3489	0.3651	0.4593	0.4593	0.5140	0.3651	0.1426
ndcg_cut_12           	1973672910	0.0000	0.5374	0.4000	0.5374	0.5365	0.5365	0.5479	0.4948	0.1889	0.4948	0.3906	0.3751	0.3906	0.4409	0.4409	0.4933	0.3906	0.1770
ndcg_cut_13           	1973672910	0.0000	0.5547	0.3850	0.5547	0.5539	0.5539	0.5649	0.4762	0.1818	0.4762	0.3759	0.3986	0.3759	0.4619	0.4243	0.4748	0.3759	0.2080
ndcg_cut_14           	1973672910	0.0000	0.5351	0.3714	0.5351	0.5697	0.5697	0.5449	0.4594	0.2107	0.4594	0.3627	0.4198	0.3627	0.4456	0.4093	0.4580	0.3627	0.2360
ndcg_cut_15           	1973672910	0.0000	0.5507	0.3590	0.5507	0.5507	0.5507	0.5267	0.5108	0.2037	0.5108	0.3506	0.4058	0.3506	0.4307	0.3956	0.4761	0.3506	0.2281
ndcg_cut_16           	1973672910	0.0000	0.5332	0.3476	0.5332	0.5333	0.5333	0.5417	0.4946	0.1973	0.4946	0.3395	0.3930	0.3395	0.4171	0.3831	0.4610	0.3395	0.2525
ndcg_cut_17           	1973672910	0.0000	0.5172	0.3672	0.5172	0.5172	0.5172	0.5555	0.4798	0.1913	0.4798	0.3293	0.3812	0.3293	0.4045	0.3716	0.4472	0.3293	0.2750
ndcg_cut_18           	1973672910	0.0000	0.5024	0.3854	0.5024	0.5024	0.5024	0.5395	0.4660	0.1858	0.4660	0.3485	0.3702	0.3485	0.3929	0.3610	0.4343	0.3485	0.2671
ndcg_cut_19           	1973672910	0.0000	0.5160	0.3748	0.5160	0.4886	0.4886	0.5247	0.4532	0.1808	0.4532	0.3389	0.3601	0.3389	0.4096	0.3511	0.4224	0.3389	0.2598
ndcg_cut_20           	1973672910	0.0000	0.5025	0.3650	0.5025	0.5021	0.5021	0.5110	0.4676	0.1760	0.4676	0.3300	0.3769	0.3300	0.3988	0.3419	0.4114	0.3300	0.2792
num_ret               	1976585275	20	11	20	11	20	20	20	20	20	20	20	20	20	20	20	20	20	20
num_rel               	1976585275	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
num_rel_ret           	1976585275	0	4	4	4	5	5	5	5	4	5	4	4	4	5	4	4	4	4
map                   	1976585275	0.0000	0.4867	0.3990	0.4867	0.7533	0.7533	0.7442	0.7603	0.6000	0.7603	0.4867	0.4657	0.4867	0.8009	0.7100	0.7100	0.4867	0.4657
iprec_at_recall_0.00  	1976585275	0.0000	0.6667	0.6667	0.6667	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.6667	1.0000	0.6667	1.0000	1.0000	1.0000	0.6667	1.0000
iprec_at_recall_0.10  	1976585275	0.0000	0.6667	0.6667	0.6667	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.6667	1.0000	0.6667	1.0000	1.0000	1.0000	0.6667	1.0000
iprec_at_recall_0.20  	1976585275	0.0000	0.6667	0.6667	0.6667	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.6667	1.0000	0.6667	1.0000	1.0000	1.0000	0.6667	1.0000
iprec_at_recall_0.30  	1976585275	0.0000	0.6667	0.6667	0.6667	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.6667	0.5000	0.6667	1.0000	1.0000	1.0000	0.6667	0.5000
iprec_at_recall_0.40  	1976585275	0.0000	0.6667	0.6667	0.6667	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.6667	0.5000	0.6667	1.0000	1.0000	1.0000	0.6667	0.5000
iprec_at_recall_0.50  	1976585275	0.0000	0.6667	0.4286	0.6667	0.6667	0.6667	0.6667	0.7500	0.5000	0.7500	0.6667	0.5000	0.6667	0.8000	0.8000	0.8000	0.6667	0.5000
iprec_at_recall_0.60  	1976585275	0.0000	0.6667	0.4286	0.6667	0.6667	0.6667	0.6667	0.7500	0.5000	0.7500	0.6667	0.5000	0.6667	0.8000	0.8000	0.8000	0.6667	0.5000
iprec_at_recall_0.70  	1976585275	0.0000	0.6667	0.4000	0.6667	0.6667	0.6667	0.6667	0.6667	0.5000	0.6667	0.6667	0.5000	0.6667	0.8000	0.8000	0.8000	0.6667	0.5000
iprec_at_recall_0.80  	1976585275	0.0000	0.6667	0.4000	0.6667	0.6667	0.6667	0.6667	0.6667	0.5000	0.6667	0.6667	0.5000	0.6667	0.8000	0.8000	0.8000	0.6667	0.5000
iprec_at_recall_0.90  	1976585275	0.0000	0.0000	0.0000	0.0000	0.5000	0.5000	0.4545	0.3846	0.0000	0.3846	0.0000	0.0000	0.0000	0.4545	0.0000	0.0000	0.0000	0.0000
iprec_at_recall_1.00  	1976585275	0.0000	0.0000	0.0000	0.0000	0.5000	0.5000	0.4545	0.3846	0.0000	0.3846	0.0000	0.0000	0.0000	0.4545	0.0000	0.0000	0.0000	0.0000
ndcg_cut_01            	1976585275	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.0000	1.0000	0.0000	1.0000	1.0000	1.0000	0.0000	1.0000
ndcg_cut_02            	1976585275	0.0000	0.1934	0.3869	0.1934	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.1934	0.6131	0.1934	1.0000	1.0000	1.0000	0.1934	0.6131
ndcg_cut_03            	1976585275	0.0000	0.3006	0.4683	0.3006	0.8671	0.8671	0.8671	0.8671	0.8671	0.8671	0.3006	0.5317	0.3006	0.8671	0.8671	0.8671	0.3006	0.5317
ndcg_cut_04            	1976585275	0.0000	0.2697	0.4202	0.2697	0.7780	0.7780	0.7780	0.8807	0.7780	0.8807	0.2697	0.4770	0.2697	0.8807	0.8807	0.8807	0.2697	0.4770
ndcg_cut_05            	1976585275	0.0000	0.4159	0.3847	0.4159	0.7968	0.7968	0.7968	0.8063	0.7123	0.8063	0.4159	0.5212	0.4159	0.8908	0.8908	0.8908	0.4159	0.5212
ndcg_cut_06            	1976585275	0.0000	0.5715	0.3847	0.5715	0.8746	0.8746	0.8746	0.8841	0.7901	0.8841	0.5715	0.5212	0.5715	0.8908	0.8908	0.8908	0.5715	0.5212
ndcg_cut_07            	1976585275	0.0000	0.5715	0.4575	0.5715	0.8746	0.8746	0.8746	0.8841	0.7901	0.8841	0.5715	0.6668	0.5715	0.8908	0.8908	0.8908	0.5715	0.6668
ndcg_cut_08            	1976585275	0.0000	0.5715	0.4575	0.5715	0.8746	0.8746	0.8746	0.8841	0.8590	0.8841	0.5715	0.7357	0.5715	0.8908	0.8908	0.8908	0.5715	0.7357
ndcg_cut_09            	1976585275	0.0000	0.5715	0.4575	0.5715	0.8746	0.8746	0.8746	0.8841	0.8590	0.8841	0.5715	0.7357	0.5715	0.8908	0.8908	0.8908	0.5715	0.7357
ndcg_cut_10           	1976585275	0.0000	0.5715	0.5838	0.5715	0.9377	0.9377	0.8746	0.8841	0.8590	0.8841	0.5715	0.7357	0.5715	0.8908	0.8908	0.8908	0.5715	0.7357
ndcg_cut_11           	1976585275	0.0000	0.5715	0.5838	0.5715	0.9377	0.9377	0.9355	0.8841	0.8590	0.8841	0.5715	0.7357	0.5715	0.9517	0.8908	0.8908	0.5715	0.7357
ndcg_cut_12           	1976585275	0.0000	0.5715	0.5838	0.5715	0.9377	0.9377	0.9355	0.8841	0.8590	0.8841	0.5715	0.7357	0.5715	0.9517	0.8908	0.8908	0.5715	0.7357
ndcg_cut_13           	1976585275	0.0000	0.5715	0.5838	0.5715	0.9377	0.9377	0.9355	0.9415	0.8590	0.9415	0.5715	0.7357	0.5715	0.9517	0.8908	0.8908	0.5715	0.7357
ndcg_cut_14           	1976585275	0.0000	0.5715	0.5838	0.5715	0.9377	0.9377	0.9355	0.9415	0.8590	0.9415	0.5715	0.7357	0.5715	0.9517	0.8908	0.8908	0.5715	0.7357
ndcg_cut_15           	1976585275	0.0000	0.5715	0.5838	0.5715	0.9377	0.9377	0.9355	0.9415	0.8590	0.9415	0.5715	0.7357	0.5715	0.9517	0.8908	0.8908	0.5715	0.7357
ndcg_cut_16           	1976585275	0.0000	0.5715	0.5838	0.5715	0.9377	0.9377	0.9355	0.9415	0.8590	0.9415	0.5715	0.7357	0.5715	0.9517	0.8908	0.8908	0.5715	0.7357
ndcg_cut_17           	1976585275	0.0000	0.5715	0.5838	0.5715	0.9377	0.9377	0.9355	0.9415	0.8590	0.9415	0.5715	0.7357	0.5715	0.9517	0.8908	0.8908	0.5715	0.7357
ndcg_cut_18           	1976585275	0.0000	0.5715	0.5838	0.5715	0.9377	0.9377	0.9355	0.9415	0.8590	0.9415	0.5715	0.7357	0.5715	0.9517	0.8908	0.8908	0.5715	0.7357
ndcg_cut_19           	1976585275	0.0000	0.5715	0.5838	0.5715	0.9377	0.9377	0.9355	0.9415	0.8590	0.9415	0.5715	0.7357	0.5715	0.9517	0.8908	0.8908	0.5715	0.7357
ndcg_cut_20           	1976585275	0.0000	0.5715	0.5838	0.5715	0.9377	0.9377	0.9355	0.9415	0.8590	0.9415	0.5715	0.7357	0.5715	0.9517	0.8908	0.8908	0.5715	0.7357
num_ret               	2021450258	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
num_rel               	2021450258	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13
num_rel_ret           	2021450258	2	4	0	4	4	4	4	4	4	4	3	5	3	3	3	3	3	5
map                   	2021450258	0.0872	0.1078	0.0000	0.1078	0.2308	0.2308	0.2077	0.2308	0.2299	0.2308	0.1769	0.2029	0.1769	0.1769	0.1769	0.1748	0.1769	0.1897
iprec_at_recall_0.00  	2021450258	1.0000	0.5000	0.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.7500	1.0000	1.0000	1.0000	1.0000	1.0000	0.7500
iprec_at_recall_0.10  	2021450258	0.1333	0.5000	0.0000	0.5000	1.0000	1.0000	1.0000	1.0000	0.7500	1.0000	1.0000	0.7500	1.0000	1.0000	1.0000	1.0000	1.0000	0.7500
iprec_at_recall_0.20  	2021450258	0.0000	0.3333	0.0000	0.3333	0.7500	0.7500	0.5000	0.6000	0.7500	0.6000	0.3000	0.7500	0.3000	0.3000	0.3000	0.2727	0.3000	0.7500
iprec_at_recall_0.30  	2021450258	0.0000	0.2353	0.0000	0.2353	0.2500	0.2500	0.2000	0.4000	0.5714	0.4000	0.0000	0.3636	0.0000	0.0000	0.0000	0.0000	0.0000	0.2857
iprec_at_recall_0.40  	2021450258	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
iprec_at_recall_0.50  	2021450258	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
iprec_at_recall_0.60  	2021450258	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
iprec_at_recall_0.70  	2021450258	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
iprec_at_recall_0.80  	2021450258	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
iprec_at_recall_0.90  	2021450258	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
iprec_at_recall_1.00  	2021450258	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ndcg_cut_01            	2021450258	0.5000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.0000
ndcg_cut_02            	2021450258	0.3066	0.0000	0.0000	0.0000	0.8066	0.8066	0.8066	0.8066	0.6131	0.8066	0.8066	0.3869	0.8066	0.8066	0.8066	0.8066	0.8066	0.3869
ndcg_cut_03            	2021450258	0.2346	0.2346	0.0000	0.2346	0.6173	0.6173	0.6173	0.6173	0.5866	0.6173	0.6173	0.4134	0.6173	0.6173	0.6173	0.6173	0.6173	0.4134
ndcg_cut_04            	2021450258	0.1952	0.2793	0.0000	0.2793	0.6817	0.6817	0.5135	0.5135	0.5720	0.5135	0.5135	0.4280	0.5135	0.5135	0.5135	0.5135	0.5135	0.4280
ndcg_cut_05            	2021450258	0.1696	0.2426	0.0000	0.2426	0.5922	0.5922	0.4462	0.5774	0.4970	0.5774	0.4462	0.3718	0.4462	0.4462	0.4462	0.4462	0.4462	0.3718
ndcg_cut_06            	2021450258	0.1599	0.2288	0.0000	0.2288	0.5585	0.5585	0.5347	0.5445	0.4687	0.5445	0.4207	0.3506	0.4207	0.4207	0.4207	0.4207	0.4207	0.3506
ndcg_cut_07            	2021450258	0.1518	0.2172	0.0000	0.2172	0.5302	0.5302	0.5076	0.5169	0.4956	0.5169	0.3994	0.3329	0.3994	0.3994	0.3994	0.3994	0.3994	0.3329
ndcg_cut_08            	2021450258	0.1449	0.2073	0.0000	0.2073	0.5060	0.5060	0.4844	0.4933	0.4729	0.4933	0.3812	0.3177	0.3812	0.3812	0.3812	0.3812	0.3812	0.3177
ndcg_cut_09            	2021450258	0.1388	0.2404	0.0000	0.2404	0.4848	0.4848	0.4642	0.4727	0.4531	0.4727	0.3653	0.3044	0.3653	0.3653	0.3653	0.3653	0.3653	0.3044
ndcg_cut_10           	2021450258	0.1335	0.2311	0.0000	0.2311	0.4661	0.4661	0.4463	0.4930	0.4357	0.4930	0.3897	0.2926	0.3897	0.3897	0.3897	0.3512	0.3897	0.2926
ndcg_cut_11           	2021450258	0.1287	0.2228	0.0000	0.2228	0.4494	0.4494	0.4302	0.4753	0.4200	0.4753	0.3758	0.3180	0.3758	0.3758	0.3758	0.3745	0.3758	0.2821
ndcg_cut_12           	2021450258	0.1244	0.2154	0.0000	0.2154	0.4343	0.4343	0.4158	0.4593	0.4059	0.4593	0.3631	0.3074	0.3631	0.3631	0.3631	0.3619	0.3631	0.2727
ndcg_cut_13           	2021450258	0.1204	0.2085	0.0000	0.2085	0.4206	0.4206	0.4026	0.4448	0.3931	0.4448	0.3516	0.2976	0.3516	0.3516	0.3516	0.3504	0.3516	0.2640
ndcg_cut_14           	2021450258	0.1204	0.2085	0.0000	0.2085	0.4206	0.4206	0.4026	0.4448	0.3931	0.4448	0.3516	0.3285	0.3516	0.3516	0.3516	0.3504	0.3516	0.2949
ndcg_cut_15           	2021450258	0.1806	0.2085	0.0000	0.2085	0.4206	0.4206	0.4026	0.4448	0.3931	0.4448	0.3516	0.3285	0.3516	0.3516	0.3516	0.3504	0.3516	0.2949
ndcg_cut_16           	2021450258	0.1806	0.2085	0.0000	0.2085	0.4500	0.4500	0.4026	0.4448	0.3931	0.4448	0.3516	0.3285	0.3516	0.3516	0.3516	0.3504	0.3516	0.2949
ndcg_cut_17           	2021450258	0.1806	0.2663	0.0000	0.2663	0.4500	0.4500	0.4026	0.4448	0.3931	0.4448	0.3516	0.3285	0.3516	0.3516	0.3516	0.3504	0.3516	0.2949
ndcg_cut_18           	2021450258	0.1806	0.2663	0.0000	0.2663	0.4500	0.4500	0.4026	0.4448	0.3931	0.4448	0.3516	0.3285	0.3516	0.3516	0.3516	0.3504	0.3516	0.2949
ndcg_cut_19           	2021450258	0.1806	0.2663	0.0000	0.2663	0.4500	0.4500	0.4026	0.4448	0.3931	0.4448	0.3516	0.3285	0.3516	0.3516	0.3516	0.3504	0.3516	0.3227
ndcg_cut_20           	2021450258	0.1806	0.2663	0.0000	0.2663	0.4500	0.4500	0.4300	0.4448	0.3931	0.4448	0.3516	0.3285	0.3516	0.3516	0.3516	0.3504	0.3516	0.3227
num_ret               	2043956000	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
num_rel               	2043956000	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27
num_rel_ret           	2043956000	0	5	1	2	6	6	7	6	1	8	6	5	7	7	7	8	6	1
map                   	2043956000	0.0000	0.0483	0.0019	0.0084	0.1192	0.0907	0.1180	0.1306	0.0021	0.1182	0.1340	0.0487	0.1329	0.1506	0.1183	0.1553	0.1340	0.0041
iprec_at_recall_0.00  	2043956000	0.0000	0.3636	0.0526	0.1429	1.0000	1.0000	1.0000	1.0000	0.0556	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	1.0000	1.0000	0.1111
iprec_at_recall_0.10  	2043956000	0.0000	0.3636	0.0000	0.0000	0.5556	0.3571	0.4545	0.6250	0.0000	0.4000	0.6000	0.2500	0.5556	0.6000	0.4286	0.6000	0.6000	0.0000
iprec_at_recall_0.20  	2043956000	0.0000	0.0000	0.0000	0.0000	0.4000	0.3333	0.3500	0.4286	0.0000	0.4000	0.4615	0.0000	0.3529	0.5000	0.4000	0.4375	0.4615	0.0000
iprec_at_recall_0.30  	2043956000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
iprec_at_recall_0.40  	2043956000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
iprec_at_recall_0.50  	2043956000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
iprec_at_recall_0.60  	2043956000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
iprec_at_recall_0.70  	2043956000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
iprec_at_recall_0.80  	2043956000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
iprec_at_recall_0.90  	2043956000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
iprec_at_recall_1.00  	2043956000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ndcg_cut_01            	2043956000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	0.0000	1.0000	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.0000
ndcg_cut_02            	2043956000	0.0000	0.0000	0.0000	0.0000	0.6131	0.6131	0.6131	0.6131	0.0000	0.6131	0.6131	0.3869	0.6131	0.6131	0.6131	0.6131	0.6131	0.0000
ndcg_cut_03            	2043956000	0.0000	0.0000	0.0000	0.0000	0.4693	0.4693	0.4693	0.4693	0.0000	0.4693	0.4693	0.2961	0.4693	0.4693	0.4693	0.4693	0.4693	0.0000
ndcg_cut_04            	2043956000	0.0000	0.0000	0.0000	0.0000	0.3904	0.3904	0.3904	0.3904	0.0000	0.3904	0.5585	0.2463	0.3904	0.5585	0.3904	0.5585	0.5585	0.0000
ndcg_cut_05            	2043956000	0.0000	0.0000	0.0000	0.0000	0.3392	0.3392	0.3392	0.4048	0.0000	0.3392	0.6164	0.2140	0.4704	0.6164	0.3392	0.6164	0.6164	0.0000
ndcg_cut_06            	2043956000	0.0000	0.0000	0.0000	0.0000	0.3565	0.3026	0.3565	0.4150	0.0000	0.3026	0.5500	0.1909	0.4197	0.5500	0.4104	0.5500	0.5500	0.0000
ndcg_cut_07            	2043956000	0.0000	0.0000	0.0000	0.0000	0.3696	0.2749	0.3238	0.4686	0.0000	0.2749	0.4996	0.1734	0.4728	0.4996	0.4644	0.4996	0.4996	0.0000
ndcg_cut_08            	2043956000	0.0000	0.0399	0.0000	0.0000	0.4199	0.2529	0.2980	0.5110	0.0000	0.2529	0.4996	0.1596	0.5149	0.4996	0.4274	0.4597	0.4996	0.0000
ndcg_cut_09            	2043956000	0.0000	0.0725	0.0000	0.0000	0.4610	0.2350	0.3477	0.4749	0.0000	0.2350	0.4997	0.1483	0.5492	0.4643	0.3971	0.4272	0.4997	0.0708
ndcg_cut_10           	2043956000	0.0000	0.0997	0.0000	0.0000	0.4317	0.2519	0.3892	0.4447	0.0000	0.2519	0.4679	0.1389	0.5143	0.4665	0.3719	0.4636	0.4679	0.0663
ndcg_cut_11           	2043956000	0.0000	0.1517	0.0000	0.0000	0.4067	0.2373	0.3956	0.4189	0.0000	0.2373	0.4408	0.1308	0.4845	0.4396	0.3503	0.4947	0.4408	0.0624
ndcg_cut_12           	2043956000	0.0000	0.1476	0.0000	0.0273	0.3956	0.2854	0.3848	0.4075	0.0000	0.2854	0.4288	0.1273	0.4713	0.4548	0.3408	0.4812	0.4288	0.0607
ndcg_cut_13           	2043956000	0.0000	0.1438	0.0000	0.0266	0.3854	0.3296	0.3749	0.3970	0.0000	0.2780	0.4435	0.1756	0.4592	0.4431	0.3836	0.4688	0.4435	0.0592
ndcg_cut_14           	2043956000	0.0000	0.1403	0.0000	0.0504	0.3759	0.3461	0.3657	0.4118	0.0000	0.3203	0.4326	0.1713	0.4479	0.4322	0.4233	0.4573	0.4326	0.0577
ndcg_cut_15           	2043956000	0.0000	0.1370	0.0000	0.0493	0.3905	0.3380	0.3571	0.4022	0.0000	0.3362	0.4225	0.2141	0.4374	0.4455	0.4368	0.4700	0.4225	0.0564
ndcg_cut_16           	2043956000	0.0000	0.1339	0.0000	0.0481	0.3818	0.3304	0.3491	0.3932	0.0000	0.3286	0.4131	0.2093	0.4276	0.4355	0.4270	0.4818	0.4131	0.0551
ndcg_cut_17           	2043956000	0.0000	0.1740	0.0000	0.0471	0.3736	0.3233	0.3416	0.3847	0.0000	0.3430	0.4042	0.2048	0.4399	0.4262	0.4178	0.4715	0.4042	0.0539
ndcg_cut_18           	2043956000	0.0000	0.1704	0.0000	0.0461	0.3659	0.3373	0.3346	0.3768	0.0413	0.3360	0.3959	0.2006	0.4308	0.4174	0.4092	0.4618	0.3959	0.0528
ndcg_cut_19           	2043956000	0.0000	0.1670	0.0199	0.0452	0.3586	0.3306	0.3478	0.3693	0.0405	0.3492	0.3880	0.2363	0.4223	0.4091	0.4209	0.4526	0.3880	0.0517
ndcg_cut_20           	2043956000	0.0000	0.1638	0.0195	0.0444	0.3517	0.3242	0.3603	0.3622	0.0397	0.3809	0.3805	0.2702	0.4334	0.4012	0.4129	0.4631	0.3805	0.0508
num_ret               	2117679317	20	7	20	7	20	20	20	20	20	20	20	20	20	20	20	20	20	20
num_rel               	2117679317	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
num_rel_ret           	2117679317	0	4	2	4	4	4	4	4	1	4	3	2	3	4	2	3	3	2
map                   	2117679317	0.0000	0.5250	0.1056	0.5250	0.5250	0.5250	0.5250	0.5250	0.0357	0.5250	0.2500	0.0955	0.2500	0.5250	0.2083	0.3583	0.2500	0.0955
iprec_at_recall_0.00  	2117679317	0.0000	0.6667	0.2222	0.6667	0.6667	0.6667	0.6667	0.6667	0.1429	0.6667	0.5000	0.2000	0.5000	0.6667	0.5000	0.6000	0.5000	0.2000
